id,direction,offsetx,offsety,showicon
756,1,0,0.1,0
757,1,0,-0.1,0
190,1,0,0,0
1114,1,0,-0.1,0
1115,1,0,0,0
1116,1,0,0.1,0
1111,1,0,-0.1,0
1112,1,0,0,0
1113,1,0,0.1,0
1110,0,0,0,1
1107,0,0,0,1
1135,0,0,0,1
1211,0,0,0,1
1212,0,0,0,1
1213,0,0,0,1
1159,0,0,0,1
1153,0,0,0,1
1160,0,0,0,1
1164,0,0,0,1
1103,0,0,0,1
1144,0,0,0,1
1143,0,0,0,1
1142,0,0,0,1
1136,0,0,0,1
1137,0,0,0,1
1138,0,0,0,1
1139,0,0,0,1
1140,0,0,0,1
1141,0,0,0,1
1142,0,0,0,1
1143,0,0,0,1
1144,0,0,0,1
1145,0,0,0,1
1146,0,0,0,1
1147,0,0,0,1
1148,0,0,0,1
