path,priority,info
nightreign/assets/datas/autogen_pattern_list.csv,1,33259
nightreign/assets/datas/autogen_pattern_variationlist.csv,1,525959
nightreign/assets/datas/autogen_spot_distribution.csv,1,10137
nightreign/assets/datas/autogen_starter_distribution.csv,1,193
nightreign/assets/datas/autogen_starter_list.csv,1,306
nightreign/assets/datas/autogen_static_spotlist.csv,1,685
nightreign/assets/datas/manual_maps.csv,1,73
nightreign/assets/datas/manual_variations.csv,1,10706
nightreign/assets/datas/manual_filterspots.csv,1,disable
nightreign/assets/datas/manual_attachpoints.csv,1,defines
nightreign/assets/fonts/simhei.ttf,1,9753388
nightreign/assets/shaders/font.frag,1,485
nightreign/assets/shaders/font.vert,1,305
nightreign/assets/shaders/texture.frag,1,212
nightreign/assets/shaders/texture.vert,1,341
nightreign/assets/textures/atlas.csv,1,texture atlas
nightreign/assets/datas/chs.txt,1,chinese
