ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,eventFlagId0,eventFlagId1,eventFlagId5,isAreaIcon,isOverrideDistViewMarkPos,isEnableNoText,unknown_10_3,unknown_10_4,unknown_10_5,unknown_10_6,unknown_10_7,areaNo_forDistViewMark,gridXNo_forDistViewMark,gridZNo_forDistViewMark,worldMapPointIconId,dispMask00,dispMask01,pad2_0,pad2,distViewIconId,areaNo,gridXNo,gridZNo,pad,posX,posY,posZ,detailIcon1,detailIcon2,unknown_30,unknown_34,unknown_38,unknown_3C,unknown_3E,unknown_40,unknown_42,eventFlagId2,eventFlagId3,eventFlagId4,unknown_50,variationIconId,unknown_56,unknown_58,unknown_5A,unknown_5C,unknown_5E,eventFlagId6,eventFlagId7,unk_00,eventFlagId8,fh_unknown_00,fh_unknown_01,fh_unknown_02,fh_unknown_03,
100,,0,0,[0|0|0],73100,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,60,42,37,0,108,89,50,0,0,0,0,0,2,1,60,58,74100,74800,74900,-1,0,1,0,10,0,0,0,0,0,73910,0,0,0,0
101,,0,0,[0|0|0],73101,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,60,42,37,0,45,98,-107,0,0,0,0,0,2,1,60,58,74101,74801,74901,-1,0,1,0,10,0,0,0,0,0,73911,0,0,0,0
103,,0,0,[0|0|0],73103,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,60,42,39,0,-30,192,-45,0,0,0,0,0,2,1,60,58,74103,74803,74903,-1,0,1,0,10,0,0,0,0,0,73913,0,0,0,0
104,,0,0,[0|0|0],73104,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,60,43,36,0,-29,65,-49,0,0,0,0,0,2,1,60,58,74104,74804,74904,-1,0,1,0,10,0,0,0,0,0,73914,0,0,0,0
106,,0,0,[0|0|0],73106,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,60,43,39,0,0,176,-77,0,0,0,0,0,2,1,60,58,74106,74806,74906,-1,0,1,0,10,0,0,0,0,0,73916,0,0,0,0
107,,0,0,[0|0|0],73107,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,60,43,39,0,-24,198,111,0,0,0,0,0,2,1,60,58,74107,74807,74907,-1,0,1,0,10,0,0,0,0,0,73917,0,0,0,0
108,,0,0,[0|0|0],73108,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,60,44,36,0,45,87,98,0,0,0,0,0,2,1,60,58,74108,74808,74908,-1,0,1,0,10,0,0,0,0,0,73918,0,0,0,0
109,,0,0,[0|0|0],73109,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,60,44,37,0,75,30,-9,0,0,0,0,0,2,1,60,58,74109,74809,74909,-1,0,1,0,10,0,0,0,0,0,73919,0,0,0,0
110,,0,0,[0|0|0],73110,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,60,44,38,0,2,85,-13,0,0,0,0,0,2,1,60,58,74110,74810,74910,-1,0,1,0,10,0,0,0,0,0,73920,0,0,0,0
111,,0,0,[0|0|0],73111,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,60,44,38,0,126,32,-70,0,0,0,0,0,2,1,60,58,74111,74811,74911,-1,0,1,0,10,0,0,0,0,0,73921,0,0,0,0
