ID,Name,unknown_0,expeditionNameId,bossIconId,unlockEventFlag,defeatEventFlag,unknown_5,bossNameId,defeatedBossIconId,sortId,descriptionId,expeditionBackgroundId,effectiveAffinity1,effectiveAffinity2,depth1ChanceWeight,depth2ChanceWeight,depth3ChanceWeight,depth4ChanceWeight,depth5ChanceWeight,largeBossIconId,unk_00,
0,Tricephalos / Gladius,1,131050,41800,0,150,100100,131060,40471,10,131070,40460,4,0,1000,800,650,500,500,41820,0
1,Gaping Jaw / Adel,0,131051,41801,110,151,100200,131061,40472,20,131071,40461,5,0,1000,800,650,500,500,41821,0
2,Sentient Pest / Gnoster,0,131052,41802,110,152,100300,131062,40473,30,131072,40462,2,0,1000,800,650,500,500,41822,0
3,Augur / Maris,0,131053,41803,110,153,100400,131063,40474,40,131073,40463,3,0,500,400,325,250,250,41823,0
4,Equilibrious Beast / Libra,0,131054,41804,110,154,100500,131064,40475,50,131074,40464,11,0,1000,800,650,500,500,41824,0
5,Darkdrift Knight / Fulghor,0,131055,41805,110,155,100600,131065,40476,60,131075,40465,3,0,1000,800,650,500,500,41825,0
6,Fissure in the Fog / Caligo,0,131056,41806,110,156,100700,131066,40477,70,131076,40466,2,0,1000,800,650,500,500,41826,0
7,Night Aspect / Heolstor,0,131057,41807,115,160,100800,131067,40478,100,131077,40467,4,0,700,700,700,700,700,41827,0
8,Balancers / Harmonia,0,131058,41810,135,161,-1,131068,40485,80,131078,40468,10,0,1600,1280,1040,800,800,41828,0
9,Dreglord / Straghess,0,131059,41811,136,162,-1,131069,40486,90,131079,40469,0,0,1120,1120,1120,1120,1120,41829,0
10,[Everdark Sovereign] Tricephalos / Gladius,0,131050,41830,150,170,-1,131060,41900,210,131070,40460,4,0,0,200,350,500,500,41840,0
11,[Everdark Sovereign] Gaping Jaw / Adel,0,131051,41831,151,171,-1,131061,41901,220,131071,40461,5,0,0,200,350,500,500,41841,0
12,[Everdark Sovereign] Sentient Pest / Gnoster,0,131052,41832,152,172,-1,131062,41902,230,131072,40462,2,0,0,200,350,500,500,41842,0
13,[Everdark Sovereign] Augur / Maris,0,131053,41833,153,173,-1,131063,41903,240,131073,40463,3,0,0,100,175,250,250,41843,0
14,[Everdark Sovereign] Equilibrious Beast / Libra,0,131054,41834,154,174,-1,131064,41904,250,131074,40464,11,0,0,200,350,500,500,41844,0
15,[Everdark Sovereign] Darkdrift Knight / Fulghor,0,131055,41835,155,175,-1,131065,41905,260,131075,40465,3,0,0,200,350,500,500,41845,0
16,[Everdark Sovereign] Fissure in the Fog / Caligo,0,131056,41836,156,176,-1,131066,41906,270,131076,40466,2,0,0,200,350,500,500,41846,0
18,[Salvation's Standard-Bearers] Balancers / Harmonia,0,131058,41838,161,181,-1,131068,41908,280,131078,40468,10,0,0,320,560,800,800,41848,0
100,The Deep of Night,0,131150,41812,130,0,-1,-1,-1,300,131151,40427,0,0,0,0,0,0,0,-1,0
