path,width,height,format
assets/textures/0/MENU_MapTile_L0_00_00.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_00_01.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_00_02.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_00_03.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_00_04.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_00_05.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_01_00.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_01_01.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_01_02.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_01_03.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_01_03_B1.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_01_04.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_01_05.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_02_00.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_02_01.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_02_01_B1.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_02_02.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_02_03.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_02_03_B1.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_02_04.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_02_04_B1.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_02_05.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_03_00.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_03_01.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_03_01_B1.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_03_02.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_03_02_B1.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_03_03.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_03_03_B1.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_03_04.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_03_04_B1.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_03_05.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_04_00.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_04_01.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_04_02.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_04_03.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_04_04.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_04_05.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_05_00.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_05_01.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_05_02.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_05_03.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_05_04.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L0_05_05.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L1_00_00.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L1_00_01.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L1_00_01_B1.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L1_00_02.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L1_01_00.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L1_01_00_B1.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L1_01_01.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L1_01_01_B1.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L1_01_02.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L1_01_02_B1.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L1_02_00.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L1_02_01.png,256,256,RGBA
assets/textures/0/MENU_MapTile_L1_02_02.png,256,256,RGBA
assets/textures/1/MENU_MapTile_L0_00_00.png,256,256,RGBA
assets/textures/1/MENU_MapTile_L0_00_01.png,256,256,RGBA
assets/textures/1/MENU_MapTile_L0_00_02.png,256,256,RGBA
assets/textures/1/MENU_MapTile_L0_00_03.png,256,256,RGBA
assets/textures/1/MENU_MapTile_L0_00_04.png,256,256,RGBA
assets/textures/1/MENU_MapTile_L0_00_05.png,256,256,RGBA
assets/textures/1/MENU_MapTile_L0_01_00.png,256,256,RGBA
assets/textures/1/MENU_MapTile_L0_01_01.png,256,256,RGBA
assets/textures/1/MENU_MapTile_L0_01_02.png,256,256,RGBA
assets/textures/1/MENU_MapTile_L0_01_03.png,256,256,RGBA
assets/textures/1/MENU_MapTile_L0_01_04.png,256,256,RGBA
assets/textures/1/MENU_MapTile_L0_01_05.png,256,256,RGBA
assets/textures/1/MENU_MapTile_L0_02_00.png,256,256,RGBA
assets/textures/1/MENU_MapTile_L0_02_01.png,256,256,RGBA
assets/textures/1/MENU_MapTile_L0_02_01_B1.png,256,256,RGBA
assets/textures/1/MENU_MapTile_L0_02_02.png,256,256,RGBA
assets/textures/1/MENU_MapTile_L0_02_03.png,256,256,RGBA
assets/textures/1/MENU_MapTile_L0_02_04.png,256,256,RGBA
assets/textures/1/MENU_MapTile_L0_02_04_B1.png,256,256,RGBA
assets/textures/1/MENU_MapTile_L0_02_05.png,256,256,RGBA
assets/textures/1/MENU_MapTile_L0_03_00.png,256,256,RGBA
assets/textures/1/MENU_MapTile_L0_03_01.png,256,256,RGBA
assets/textures/1/MENU_MapTile_L0_03_01_B1.png,256,256,RGBA
assets/textures/1/MENU_MapTile_L0_03_02.png,256,256,RGBA
