ID,Name,unknown_0,areaNo,gridXNo,gridZNo,pad,unknown_2,unknown_3,unknown_4,attachPointEntityId,defaultSmallBase,unknown_7a,unknown_7b,unknown_7c,unknown_7d,unknown_8a,unknown_8b,unknown_8c,unknown_8d,unknown_9a,unknown_9b,unknown_9c,unknown_9d,unknown_10a,unknown_10b,unknown_10c,unknown_10d,unknown_11a,unknown_11b,unknown_11c,unknown_11d,unknown_12a,unknown_12b,unknown_12c,unknown_12d,unknown_13,posX,posY,posZ,unknown_17,unknown_18,unknown_19a,unknown_19b,unknown_19c,unknown_19d,unknown_20,unknown_21,unknown_22a,unknown_22b,unknown_22c,unknown_22d,unknown_23a,unknown_23b,unknown_23c,unknown_23d,unknown_24,
100,Major Base - Gatefront,1,60,42,37,0,0,15,701,1042372999,2010,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,89,50,-55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Major Base - Groveside,1,60,42,37,0,0,15,700,1042372998,2000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,98,-107,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Major Base - Northwest Stormhill,1,60,42,39,0,0,11,0,1042392999,2030,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30,192,-45,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Major Base - South Lake,1,60,43,36,0,0,15,0,1043362999,2040,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29,65,-49,180,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Major Base - Alexander Spot,1,60,43,39,0,0,11,12,1043392999,2050,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,-77,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Major Base - Northeast Stormhill,1,60,43,39,0,0,11,12,1043392998,2060,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,198,111,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Major Base - Waypoint Ruins,1,60,44,36,0,0,13,704,1044362999,2070,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22,79,-72,170,705,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Major Base - West Mistwood,1,60,44,37,0,0,13,0,1044372999,2080,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,30,-9,-135,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Major Base - Artist's Shack,1,60,44,38,0,0,12,0,1044382999,2100,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,85,-13,44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Major Base - Northwest Mistwood,1,60,44,38,0,0,12,708,1044382998,2090,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,32,-70,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Major Base - Summonwater Approach,1,60,44,39,0,0,12,706,1044392999,2110,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,110,-64,-45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Major Base - South Mistwood,1,60,45,36,0,0,13,0,1045362999,2120,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,16,20,-180,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Major Base - Minor Erdtree,1,60,45,37,0,0,13,707,1045372999,2130,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,-68,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Major Base - Northeast Mistwood,1,60,45,38,0,0,0,0,1045382999,2140,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,12,97,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Major Base - Summonwater,1,60,45,39,0,0,0,0,1045392999,2150,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56,95,54,72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,,0,60,43,38,0,0,0,0,1043382990,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-128,188,92,-130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,,0,60,43,39,0,0,0,0,1043392990,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,-77,-140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Major Base - Stormhill North of Gate,1,60,42,38,0,0,11,702,1042382999,2020,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,143,-44,-55,703,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Starter Major Base - Groveside,1,60,42,37,0,700,15,0,1042372601,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,98,-107,70,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
122,Starter Major Base - Gatefront,1,60,42,37,0,701,15,0,1042372602,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,89,50,-55,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
123,Starter Major Base - Stormhill North of Gate,1,60,42,38,0,702,11,0,1042382601,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,143,-44,-55,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
124,Starter Major Base - Stormhill North of Gate Alt,1,60,42,38,0,703,11,12,1042382602,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,143,-44,-55,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
