ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,areaNo,gridXNo,gridZNo,pad,posX,posZ,day1Flag,day2Flag,requireModifier1,excludeModifier1,excludeModifier2,bossAttachPoint,connectColEntityId,requireModifier2,unknown_12,unknown_13,unknown_14,extraBossAttachPoint,
1000,,1,0,[0|0|0],60,42,36,0,26,-4,7650,7675,0,15,0,500,1042364800,0,0,0,0,800
1001,,1,0,[0|0|0],60,42,38,0,-54,21,7651,7676,0,11,0,502,1042384800,0,0,0,0,801
1002,,1,0,[0|0|0],60,42,39,0,-54,61,7652,7677,0,11,0,518,1042394800,0,0,0,0,815
1003,,1,0,[0|0|0],60,43,36,0,88,-29,7653,7678,0,15,0,503,1043364800,0,0,0,0,802
1004,,1,0,[0|0|0],60,43,36,0,-75,88,7654,7679,0,15,0,504,1043364801,0,0,0,0,803
1005,,1,0,[0|0|0],60,43,37,0,17,-58,7655,7680,0,15,0,505,1043374800,0,0,0,0,804
1006,,1,0,[0|0|0],60,43,38,0,-84,-62,7656,7681,0,11,12,506,1043384800,0,0,0,0,805
1007,,1,0,[0|0|0],60,44,37,0,-53,64,7657,7682,0,13,0,507,1044374800,0,0,0,0,806
1008,,1,0,[0|0|0],60,44,39,0,-34,-22,7658,7683,0,12,0,509,1044394800,0,0,0,0,807
1009,,1,0,[0|0|0],60,45,36,0,-88,96,7659,7684,0,13,0,512,1045364800,0,0,0,0,809
1010,,1,0,[0|0|0],60,45,37,0,-48,82,7660,7685,0,13,0,513,1045374800,0,0,0,0,810
1011,,1,0,[0|0|0],60,45,39,0,82,18,7661,7686,0,0,0,511,1045394800,0,0,0,0,808
1021,,1,0,[0|0|0],60,44,36,1,48.9,91.352,7668,7693,13,0,0,514,1046304805,13,0,0,0,811
1022,,1,0,[0|0|0],60,45,37,1,-30.535,53.865,7669,7694,13,0,0,515,1057304805,13,0,0,0,812
1023,,1,0,[0|0|0],60,43,38,1,-26.54,35.82,7670,7695,11,0,0,516,1038104801,11,0,0,0,813
1024,,1,0,[0|0|0],60,43,39,1,88.99,96.707,7662,7687,12,0,0,517,1039204800,12,0,0,0,814
1025,,1,0,[0|0|0],60,43,37,1,36.38,41.32,7672,7697,15,0,0,510,1037504800,15,0,0,0,817
1026,,1,0,[0|0|0],60,44,37,0,-53,64,7671,7696,15,0,0,519,1047504800,0,0,0,0,816
11000,,1,0,[0|0|0],60,43,36,0,-96,121,7663,7688,14,13000,13001,1130,1042364800,0,0,0,0,1180
11001,,1,0,[0|0|0],60,43,38,1,75,-31,7664,7689,14,0,0,1131,1042384800,0,0,0,0,1181
11002,,1,0,[0|0|0],60,44,37,0,55.69,35.04,7665,7690,14,13002,0,1132,1042394800,0,0,0,0,1182
12000,,1,0,[0|0|0],60,44,39,1,0,-115,7666,7691,14,0,0,1133,1049404800,14,0,0,0,1183
12001,,1,0,[0|0|0],60,44,39,1,0,-115,7666,7691,14,0,0,1133,1049404800,14,0,0,0,1183
21000,,1,0,[0|0|0],60,42,36,0,26,-4,7650,7675,0,15,0,500,1042364800,0,0,0,0,800
21001,,1,0,[0|0|0],60,42,38,0,-54,21,7651,7676,0,11,0,502,1042384800,0,0,0,0,801
21002,,1,0,[0|0|0],60,42,39,0,-54,61,7652,7677,0,11,0,518,1042394800,0,0,0,0,815
21003,,1,0,[0|0|0],60,43,36,0,88,-29,7653,7678,0,15,0,503,1043364800,0,0,0,0,802
21004,,1,0,[0|0|0],60,43,36,0,-75,88,7654,7679,0,15,0,504,1043364801,0,0,0,0,803
21005,,1,0,[0|0|0],60,43,37,0,17,-58,7655,7680,0,15,0,505,1043374800,0,0,0,0,804
21006,,1,0,[0|0|0],60,43,38,0,-84,-62,7656,7681,0,11,12,506,1043384800,0,0,0,0,805
21007,,1,0,[0|0|0],60,44,37,0,-53,64,7657,7682,0,13,0,507,1044374800,0,0,0,0,806
21008,,1,0,[0|0|0],60,44,39,0,-34,-22,7658,7683,0,12,0,509,1044394800,0,0,0,0,807
21009,,1,0,[0|0|0],60,45,36,0,-88,96,7659,7684,0,13,0,512,1045364800,0,0,0,0,809
21010,,1,0,[0|0|0],60,45,37,0,-48,82,7660,7685,0,13,0,513,1045374800,0,0,0,0,810
21011,,1,0,[0|0|0],60,45,39,0,82,18,7661,7686,0,0,0,511,1045394800,0,0,0,0,808
21021,,1,0,[0|0|0],60,44,36,1,48.9,91.352,7668,7693,13,0,0,514,1046304805,13,0,0,0,811
21022,,1,0,[0|0|0],60,45,37,1,-30.535,53.865,7669,7694,13,0,0,515,1057304805,13,0,0,0,812
21023,,1,0,[0|0|0],60,43,38,1,-26.54,35.82,7670,7695,11,0,0,516,1038104801,11,0,0,0,813
21024,,1,0,[0|0|0],60,43,39,1,88.99,96.707,7662,7687,12,0,0,517,1039204800,12,0,0,0,814
21025,,1,0,[0|0|0],60,43,37,1,36.38,41.32,7672,7697,15,0,0,510,1037504800,15,0,0,0,817
21026,,1,0,[0|0|0],60,44,37,0,-53,64,7671,7696,15,0,0,519,1047504800,0,0,0,0,816
